seed 42: trellis 0.634 | 32=0.281 64=0.370 128=0.454 256=0.520 512=0.532 1000=0.548 2000=0.568 5000=0.577 20000=0.577 full=0.568
seed 43: trellis 0.634 | 32=0.292 64=0.372 128=0.445 256=0.520 512=0.538 1000=0.561 2000=0.568 5000=0.569 20000=0.587 full=0.568
seed 44: trellis 0.634 | 32=0.297 64=0.380 128=0.472 256=0.524 512=0.548 1000=0.542 2000=0.554 5000=0.580 20000=0.569 full=0.568
seed 45: trellis 0.634 | 32=0.270 64=0.363 128=0.450 256=0.515 512=0.555 1000=0.558 2000=0.561 5000=0.562 20000=0.597 full=0.568
seed 46: trellis 0.634 | 32=0.296 64=0.379 128=0.447 256=0.524 512=0.540 1000=0.553 2000=0.565 5000=0.571 20000=0.588 full=0.568
seed 47: trellis 0.634 | 32=0.293 64=0.383 128=0.455 256=0.521 512=0.554 1000=0.552 2000=0.565 5000=0.577 20000=0.572 full=0.568

# trellis flat: 0.634 (sd 0.0000)

## PQ recall@10 vs K — mean ± 95%CI over 6 calibration seeds, vs flat trellis
| K | PQ mean | 95% CI | PQ - trellis |
|---|---|---|---|
| 32 | 0.288 | [0.277, 0.299] | -0.346 |
| 64 | 0.374 | [0.367, 0.382] | -0.260 |
| 128 | 0.454 | [0.444, 0.464] | -0.180 |
| 256 | 0.521 | [0.517, 0.524] | -0.113 |
| 512 | 0.544 | [0.535, 0.554] | -0.090 |
| 1000 | 0.552 | [0.545, 0.560] | -0.082 |
| 2000 | 0.564 | [0.558, 0.569] | -0.071 |
| 5000 | 0.573 | [0.566, 0.580] | -0.061 |
| 20000 | 0.582 | [0.570, 0.593] | -0.052 |
| full | 0.568 | [0.568, 0.568] | -0.066 |

# PQ NEVER catches the trellis at any K: True
DONE coldstart_glove_seed_ci
