seed 42: trellis 0.636 | 32=0.477 64=0.559 128=0.619 256=0.691 512=0.701 1000=0.702 2000=0.706 5000=0.708 20000=0.723 full=0.715
seed 43: trellis 0.636 | 32=0.480 64=0.555 128=0.632 256=0.673 512=0.693 1000=0.707 2000=0.722 5000=0.736 20000=0.717 full=0.715
seed 44: trellis 0.636 | 32=0.477 64=0.559 128=0.624 256=0.688 512=0.702 1000=0.712 2000=0.716 5000=0.714 20000=0.709 full=0.715
seed 45: trellis 0.636 | 32=0.474 64=0.563 128=0.626 256=0.668 512=0.697 1000=0.688 2000=0.714 5000=0.713 20000=0.718 full=0.715
seed 46: trellis 0.636 | 32=0.468 64=0.565 128=0.628 256=0.687 512=0.703 1000=0.707 2000=0.698 5000=0.727 20000=0.717 full=0.715
seed 47: trellis 0.636 | 32=0.483 64=0.571 128=0.622 256=0.685 512=0.697 1000=0.701 2000=0.696 5000=0.721 20000=0.723 full=0.715

# trellis flat (oblivious, calibration-free): 0.636 (sd 0.0000 across seeds — should be ~0, deterministic)

## PQ recall@10 vs K — mean ± 95%CI over 6 calibration seeds, vs flat trellis
| K | PQ mean | 95% CI | PQ - trellis |
|---|---|---|---|
| 32 | 0.476 | [0.471, 0.482] | -0.160 |
| 64 | 0.562 | [0.556, 0.568] | -0.074 |
| 128 | 0.625 | [0.620, 0.630] | -0.011 |
| 256 | 0.682 | [0.672, 0.692] | +0.046 |
| 512 | 0.699 | [0.695, 0.703] | +0.063 |
| 1000 | 0.703 | [0.694, 0.712] | +0.067 |
| 2000 | 0.709 | [0.698, 0.720] | +0.073 |
| 5000 | 0.720 | [0.709, 0.731] | +0.084 |
| 20000 | 0.718 | [0.712, 0.723] | +0.082 |
| full | 0.715 | [0.715, 0.715] | +0.079 |

DONE coldstart_seed_ci
