dataset,bits,query,quantizer,recall_at_1,recall_at_10,recall_at_100
base,2,0,turboquant_baseline,1.000000,0.700000,0.960000
base,2,1,turboquant_baseline,1.000000,0.500000,0.960000
base,2,2,turboquant_baseline,1.000000,0.700000,0.930000
base,2,3,turboquant_baseline,1.000000,0.700000,0.950000
base,2,4,turboquant_baseline,1.000000,0.900000,0.940000
base,2,5,turboquant_baseline,1.000000,0.800000,0.930000
base,2,6,turboquant_baseline,1.000000,0.800000,0.950000
base,2,7,turboquant_baseline,1.000000,0.700000,0.950000
base,2,8,turboquant_baseline,1.000000,0.800000,0.940000
base,2,9,turboquant_baseline,1.000000,0.700000,0.980000
base,2,10,turboquant_baseline,1.000000,0.600000,0.970000
base,2,11,turboquant_baseline,1.000000,0.700000,0.930000
base,2,12,turboquant_baseline,1.000000,0.800000,0.960000
base,2,13,turboquant_baseline,1.000000,0.900000,0.950000
base,2,14,turboquant_baseline,1.000000,0.900000,0.960000
base,2,15,turboquant_baseline,1.000000,0.600000,0.950000
base,2,0,turboquant_residual,1.000000,0.700000,0.930000
base,2,1,turboquant_residual,1.000000,0.700000,0.930000
base,2,2,turboquant_residual,1.000000,0.600000,0.940000
base,2,3,turboquant_residual,1.000000,0.300000,0.890000
base,2,4,turboquant_residual,1.000000,0.600000,0.960000
base,2,5,turboquant_residual,1.000000,0.700000,0.880000
base,2,6,turboquant_residual,1.000000,0.700000,0.910000
base,2,7,turboquant_residual,1.000000,0.700000,0.950000
base,2,8,turboquant_residual,1.000000,0.900000,0.930000
base,2,9,turboquant_residual,1.000000,0.700000,0.930000
base,2,10,turboquant_residual,1.000000,0.500000,0.930000
base,2,11,turboquant_residual,1.000000,0.900000,0.900000
base,2,12,turboquant_residual,1.000000,0.400000,0.920000
base,2,13,turboquant_residual,1.000000,0.700000,0.930000
base,2,14,turboquant_residual,1.000000,0.700000,0.920000
base,2,15,turboquant_residual,1.000000,0.400000,0.920000
base,2,0,rabitq,1.000000,0.800000,0.940000
base,2,1,rabitq,1.000000,0.700000,0.970000
base,2,2,rabitq,1.000000,0.700000,0.950000
base,2,3,rabitq,1.000000,0.600000,0.930000
base,2,4,rabitq,1.000000,0.700000,0.950000
base,2,5,rabitq,1.000000,0.900000,0.930000
base,2,6,rabitq,1.000000,0.700000,0.930000
base,2,7,rabitq,1.000000,0.800000,0.950000
base,2,8,rabitq,1.000000,0.700000,0.940000
base,2,9,rabitq,1.000000,0.800000,0.970000
base,2,10,rabitq,1.000000,0.500000,0.990000
base,2,11,rabitq,1.000000,0.900000,0.930000
base,2,12,rabitq,1.000000,0.800000,0.960000
base,2,13,rabitq,1.000000,0.800000,0.940000
base,2,14,rabitq,1.000000,0.700000,0.950000
base,2,15,rabitq,1.000000,0.500000,0.960000
base,2,0,trellis,1.000000,0.900000,0.970000
base,2,1,trellis,1.000000,0.800000,0.980000
base,2,2,trellis,1.000000,0.900000,0.980000
base,2,3,trellis,1.000000,0.800000,0.960000
base,2,4,trellis,1.000000,0.800000,0.950000
base,2,5,trellis,1.000000,0.800000,0.970000
base,2,6,trellis,1.000000,0.800000,0.970000
base,2,7,trellis,1.000000,0.900000,0.970000
base,2,8,trellis,1.000000,1.000000,0.960000
base,2,9,trellis,1.000000,0.900000,0.970000
base,2,10,trellis,1.000000,0.700000,0.970000
base,2,11,trellis,1.000000,1.000000,0.970000
base,2,12,trellis,1.000000,0.900000,0.950000
base,2,13,trellis,1.000000,0.800000,0.960000
base,2,14,trellis,1.000000,0.800000,0.970000
base,2,15,trellis,1.000000,1.000000,0.980000
base,2,0,pvq,1.000000,0.600000,0.960000
base,2,1,pvq,1.000000,0.900000,0.960000
base,2,2,pvq,1.000000,0.800000,0.950000
base,2,3,pvq,1.000000,0.800000,0.940000
base,2,4,pvq,1.000000,0.700000,0.950000
base,2,5,pvq,1.000000,0.600000,0.940000
base,2,6,pvq,1.000000,0.700000,0.930000
base,2,7,pvq,1.000000,0.900000,0.960000
base,2,8,pvq,1.000000,0.700000,0.930000
base,2,9,pvq,1.000000,0.800000,0.980000
base,2,10,pvq,1.000000,0.800000,0.950000
base,2,11,pvq,1.000000,0.900000,0.930000
base,2,12,pvq,1.000000,0.800000,0.930000
base,2,13,pvq,1.000000,0.700000,0.960000
base,2,14,pvq,1.000000,0.900000,0.940000
base,2,15,pvq,1.000000,0.900000,0.980000
base,2,0,eden,1.000000,0.700000,0.960000
base,2,1,eden,1.000000,0.600000,0.940000
base,2,2,eden,1.000000,0.600000,0.930000
base,2,3,eden,1.000000,0.600000,0.940000
base,2,4,eden,1.000000,0.900000,0.940000
base,2,5,eden,1.000000,0.700000,0.930000
base,2,6,eden,1.000000,0.800000,0.950000
base,2,7,eden,1.000000,0.700000,0.950000
base,2,8,eden,1.000000,0.800000,0.940000
base,2,9,eden,1.000000,0.700000,0.980000
base,2,10,eden,1.000000,0.600000,0.970000
base,2,11,eden,1.000000,0.800000,0.930000
base,2,12,eden,1.000000,0.900000,0.970000
base,2,13,eden,1.000000,0.900000,0.950000
base,2,14,eden,1.000000,0.900000,0.960000
base,2,15,eden,1.000000,0.600000,0.950000
base,2,0,blockquant,1.000000,0.700000,0.980000
base,2,1,blockquant,1.000000,0.600000,0.960000
base,2,2,blockquant,1.000000,0.800000,0.970000
base,2,3,blockquant,1.000000,0.600000,0.960000
base,2,4,blockquant,1.000000,0.600000,0.960000
base,2,5,blockquant,1.000000,0.800000,0.960000
base,2,6,blockquant,1.000000,0.800000,0.950000
base,2,7,blockquant,1.000000,0.900000,0.970000
base,2,8,blockquant,1.000000,0.800000,0.920000
base,2,9,blockquant,1.000000,0.700000,0.980000
base,2,10,blockquant,1.000000,0.800000,0.960000
base,2,11,blockquant,1.000000,0.800000,0.960000
base,2,12,blockquant,1.000000,0.800000,0.960000
base,2,13,blockquant,1.000000,0.500000,0.940000
base,2,14,blockquant,1.000000,0.800000,0.970000
base,2,15,blockquant,1.000000,0.700000,0.960000
base,2,0,e8,1.000000,0.900000,0.960000
base,2,1,e8,1.000000,0.800000,0.960000
base,2,2,e8,1.000000,0.800000,0.970000
base,2,3,e8,1.000000,0.900000,0.980000
base,2,4,e8,1.000000,0.900000,0.950000
base,2,5,e8,1.000000,0.700000,0.950000
base,2,6,e8,1.000000,0.900000,0.940000
base,2,7,e8,1.000000,0.900000,0.950000
base,2,8,e8,1.000000,0.900000,0.950000
base,2,9,e8,1.000000,0.800000,0.960000
base,2,10,e8,1.000000,0.700000,0.980000
base,2,11,e8,1.000000,0.800000,0.940000
base,2,12,e8,1.000000,0.800000,0.940000
base,2,13,e8,1.000000,0.600000,0.940000
base,2,14,e8,1.000000,1.000000,0.970000
base,2,15,e8,1.000000,0.700000,0.960000
